"team1","city"
"Chennai Super Kings","Chennai"
"Delhi Capitals","Delhi"
"Gujarat Lions","Rajkot"
"Kings XI Punjab","Chandigarh"
"Kochi Tuskers Kerala","Kochi"
"Kolkata Knight Riders","Kolkata"
"Mumbai Indians","Mumbai"
"Rajasthan Royals","Jaipur"
"Rising Pune Supergiants","Pune"
"Royal Challengers Bangalore","Bangalore"
"Sunrisers Hyderabad","Hyderabad"
"Sunrisers Hyderabad","Visakhapatnam "
"Delhi Capitals","Raipur"
"Gujarat Lions","Kanpur"
"Kings XI Punjab","Mohali"
"Chennai Super Kings","Ranchi"
